Fórmula,Dias,RCTA
A_N,7,21.6
A_N,7,18.8
A_N,7,16.7
A_N,7,18.2
A_N,7,19.8
A_N,7,18.1
A_N,7,17.6
A_N,7,14.8
AA_0.5C,7,19.6
AA_0.5C,7,21.5
AA_0.5C,7,21.2
AA_0.5C,7,18.4
AA_0.5C,7,17.7
AA_0.5C,7,21.7
AA_0.5C,7,18.9
AA_0.5C,7,18.2
AA_1.0C,7,19.4
AA_1.0C,7,19.8
AA_1.0C,7,18.0
AA_1.0C,7,16.7
AA_1.0C,7,20.3
AA_1.0C,7,19.6
AA_1.0C,7,20.3
AA_1.0C,7,18.5
A_N,28,24.4
A_N,28,24.7
A_N,28,21.6
A_N,28,22.5
A_N,28,19.8
A_N,28,20.2
A_N,28,21.7
A_N,28,24.1
AA_0.5C,28,29.2
AA_0.5C,28,24.2
AA_0.5C,28,25.4
AA_0.5C,28,23.0
AA_0.5C,28,21.8
AA_0.5C,28,24.1
AA_0.5C,28,23.1
AA_0.5C,28,21.6
AA_1.0C,28,23.1
AA_1.0C,28,21.0
AA_1.0C,28,20.4
AA_1.0C,28,20.1
AA_1.0C,28,21.1
AA_1.0C,28,23.1
AA_1.0C,28,22.9
AA_1.0C,28,23.9
A_N,91,26.5
A_N,91,23.3
A_N,91,23.7
A_N,91,23.3
A_N,91,23.7
A_N,91,24.2
A_N,91,21.2
A_N,91,22.3
AA_0.5C,91,29.0
AA_0.5C,91,24.4
AA_0.5C,91,28.7
AA_0.5C,91,28.8
AA_0.5C,91,22.5
AA_0.5C,91,24.3
AA_0.5C,91,26.0
AA_0.5C,91,30.9
AA_1.0C,91,26.6
AA_1.0C,91,24.2
AA_1.0C,91,26.4
AA_1.0C,91,21.8
AA_1.0C,91,25.8
AA_1.0C,91,24.5
AA_1.0C,91,21.6
AA_1.0C,91,22.8
