Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,23.0,19.8,21.2,19.6,19.5,20.2,17.9
2,21.4,20.7,21.5,18.4,19.9,17.7,18.9
3,22.9,19.8,22.2,19.9,20.3,22.5,20.9
