Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,2.15,2.17,2.18,2.13,2.18,2.13,2.07
2,2.16,2.18,2.17,2.13,2.17,2.07,2.15
3,2.16,2.17,2.20,2.16,2.17,2.14,2.12
