Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,7.0,6.5,6.9,5.9,6.7,5.7,6.9
2,6.9,6.5,6.7,5.8,6.3,6.0,6.3
3,6.9,6.4,6.5,6.4,6.6,6.5,7.0
