Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,17.8,19.8,19.5,18.6,19.1,17.2,16.3
2,19.0,19.6,20.2,19.6,19.3,17.8,17.2
3,17.8,20.5,20.5,19.6,19.5,18.3,16.6
