Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,8.6,8.7,9.0,8.2,8.0,9.0,7.6
2,8.5,8.3,9.1,7.4,8.1,6.6,8.2
3,8.5,8.7,8.7,7.0,8.0,6.3,7.7
