Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,2.16,2.14,2.14,2.15,2.12,2.06,2.10
2,2.16,2.14,2.14,2.14,2.12,2.10,2.08
3,2.18,2.14,2.12,2.14,2.11,2.09,2.12
