Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,2.16,2.22,2.20,2.21,2.18,2.14,2.14
2,2.19,2.20,2.22,2.22,2.18,2.10,2.11
3,2.18,2.18,2.18,2.20,2.21,2.14,2.15
