Amostra,A_N,AQ_0.5,AQ_0.5C,AQ_1.0,AQ_1.0C,AQ_1.5,AQ_1.5C
1,9.4,8.5,9.1,8.8,8.4,8.6,9.2
2,9.7,8.7,8.4,9.0,9.1,7.1,8.6
3,9.5,8.3,8.3,8.9,9.0,8.5,8.7
