Fórmula,Dias,MEA
A_N,7,2.16
A_N,7,2.16
A_N,7,2.18
A_N,7,2.18
AA_0.5C-B,7,2.20
AA_0.5C-B,7,2.15
AA_0.5C-B,7,2.13
AA_0.5C-B,7,2.12
AA_1.0C-B,7,2.13
AA_1.0C-B,7,2.13
AA_1.0C-B,7,2.13
AA_1.0C-B,7,2.13
A_N,28,2.15
A_N,28,2.16
A_N,28,2.14
A_N,28,2.16
AA_0.5C-B,28,2.14
AA_0.5C-B,28,2.16
AA_0.5C-B,28,2.18
AA_0.5C-B,28,2.13
AA_1.0C-B,28,2.14
AA_1.0C-B,28,2.16
AA_1.0C-B,28,2.11
AA_1.0C-B,28,2.17
A_N,91,2.16
A_N,91,2.19
A_N,91,2.18
A_N,91,2.14
AA_0.5C-B,91,2.18
AA_0.5C-B,91,2.20
AA_0.5C-B,91,2.17
AA_0.5C-B,91,2.19
AA_1.0C-B,91,2.17
AA_1.0C-B,91,2.18
AA_1.0C-B,91,2.20
AA_1.0C-B,91,2.20
