Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,2.16,2.16,2.20,2.16,2.13
2,2.16,2.16,2.15,2.16,2.13
3,2.18,2.16,2.13,2.15,2.13
