Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,2.15,2.16,2.14,2.16,2.14
2,2.16,2.18,2.16,2.15,2.16
3,2.16,2.16,2.18,2.18,2.17
