Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,2.16,2.18,2.18,2.15,2.17
2,2.19,2.17,2.17,2.19,2.18
3,2.18,2.21,2.19,2.15,2.20
