Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,23.5,26.7,24.9,25.3,24.4
2,23.5,28.8,24.8,23.8,25.4
3,23.3,25.2,23.7,23.7,26.2
