Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,7.0,6.3,6.7,6.9,6.6
2,6.9,6.4,6.8,6.5,6.4
3,6.9,6.8,7.1,6.5,6.4
