Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,8.6,8.4,7.9,8.0,7.6
2,8.5,8.7,8.2,8.2,8.2
3,8.5,8.3,8.0,8.1,8.0
