Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,17.8,20.6,19.6,19.6,18.8
2,19.0,19.8,19.5,19.2,19.3
3,17.8,18.5,18.7,19.0,19.2
