Amostra,A_N,AA_0.5C,AA_0.5C_B,AA_1.0C,AA_1.0C_B
1,23.5,24.8,23.2,22.0,22.3
2,23.5,22.4,21.7,20.7,23.3
3,23.3,23.6,22.6,23.0,22.7
